 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 27,1100,+47,171.000000 
 27,1100,+48,167.000000 
 27,1100,+49,153.000000 
 27,1100,+50,167.000000 
 27,1100,+51,165.000000 
 27,1100,+52,148.000000 
 27,1100,+53,126.000000 
 27,1100,+54,108.000000 
 27,1100,+55,101.000000 
 27,1100,+56,99.000000 
 27,1100,+57,104.000000 
 27,1100,+58,110.000000 
 27,1100,+59,118.000000 
 27,1100,+60,129.000000 
 27,1100,+61,131.000000 
 27,1100,+62,129.000000 
 27,1100,+63,129.000000 
 27,1100,+64,135.000000 
 27,1100,+65,144.000000 
 27,1100,+66,149.000000 
 27,1100,+67,151.000000 
 27,1100,+68,151.000000 
 27,1100,+69,149.000000 
 27,1100,+70,152.000000 
 27,1100,+71,162.000000 
 27,1100,+72,157.000000 
 27,1100,+73,141.000000 
 27,1100,+74,135.000000 
 27,1100,+75,124.000000 
 27,1100,+76,120.000000 
 27,1400,+6,123.000000 
 27,1400,+7,121.000000 
 27,1400,+8,129.000000 
 27,1400,+9,138.000000 
 27,1400,+10,140.000000 
 27,1400,+11,145.000000 
 27,1400,+12,150.000000 
 27,1400,+13,152.000000 
 27,1400,+14,156.000000 
 27,1400,+15,156.000000 
 27,1400,+16,153.000000 
 27,1400,+17,157.000000 
 27,1400,+18,154.000000 
 27,1400,+19,158.000000 
 27,1400,+20,149.000000 
 27,1400,+21,139.000000 
 27,1400,+22,142.000000 
 27,1400,+23,146.000000 
 27,1400,+24,131.000000 
 27,1400,+25,117.000000 
 27,1400,+26,107.000000 
 27,1400,+27,105.000000 
 27,1400,+28,114.000000 
 27,1400,+29,121.000000 
 27,1400,+30,124.000000 
 27,1400,+31,113.000000 
 27,1400,+32,107.000000 
 27,1400,+33,114.000000 
 27,1400,+34,120.000000 
 27,1400,+35,127.000000 
 27,1400,+36,128.000000 
 27,1400,+37,126.000000 
 27,1400,+38,126.000000 
 27,1400,+39,130.000000 
 27,1400,+40,137.000000 
 27,1400,+41,141.000000 
 27,1400,+42,148.000000 
 27,1400,+43,162.000000 
 27,1400,+44,171.000000 
 27,1400,+45,167.000000 
 27,1400,+46,153.000000 
 27,1400,+47,167.000000 
 27,1400,+48,165.000000 
 27,1400,+49,148.000000 
 27,1400,+50,126.000000 
 27,1400,+51,108.000000 
 27,1400,+52,101.000000 
 27,1400,+53,99.000000 
 27,1400,+54,104.000000 
 27,1400,+55,110.000000 
 27,1400,+56,118.000000 
 27,1400,+57,129.000000 
 27,1400,+58,131.000000 
 27,1400,+59,129.000000 
 27,1400,+60,129.000000 
 27,1400,+61,135.000000 
 27,1400,+62,144.000000 
 27,1400,+63,149.000000 
 27,1400,+64,151.000000 
 27,1400,+65,151.000000 
 27,1400,+66,149.000000 
 27,1400,+67,152.000000 
 27,1400,+68,162.000000 
 27,1400,+69,157.000000 
 27,1400,+70,141.000000 
 27,1400,+71,135.000000 
 27,1400,+72,124.000000 
 27,1400,+73,120.000000 
 27,1700,+6,138.000000 
 27,1700,+7,140.000000 
 27,1700,+8,145.000000 
 27,1700,+9,150.000000 
 27,1700,+10,152.000000 
 27,1700,+11,156.000000 
 27,1700,+12,156.000000 
 27,1700,+13,153.000000 
 27,1700,+14,157.000000 
 27,1700,+15,154.000000 
 27,1700,+16,158.000000 
 27,1700,+17,149.000000 
 27,1700,+18,139.000000 
 27,1700,+19,142.000000 
 27,1700,+20,146.000000 
 27,1700,+21,131.000000 
 27,1700,+22,117.000000 
 27,1700,+23,107.000000 
 27,1700,+24,105.000000 
 27,1700,+25,114.000000 
 27,1700,+26,121.000000 
 27,1700,+27,124.000000 
 27,1700,+28,113.000000 
 27,1700,+29,107.000000 
 27,1700,+30,114.000000 
 27,1700,+31,120.000000 
 27,1700,+32,127.000000 
 27,1700,+33,128.000000 
 27,1700,+34,126.000000 
 27,1700,+35,126.000000 
 27,1700,+36,130.000000 
 27,1700,+37,137.000000 
 27,1700,+38,141.000000 
 27,1700,+39,148.000000 
 27,1700,+40,162.000000 
 27,1700,+41,171.000000 
 27,1700,+42,167.000000 
 27,1700,+43,153.000000 
 27,1700,+44,167.000000 
 27,1700,+45,165.000000 
 27,1700,+46,148.000000 
 27,1700,+47,126.000000 
 27,1700,+48,108.000000 
 27,1700,+49,101.000000 
 27,1700,+50,99.000000 
 27,1700,+51,104.000000 
 27,1700,+52,110.000000 
 27,1700,+53,118.000000 
 27,1700,+54,129.000000 
 27,1700,+55,131.000000 
 27,1700,+56,129.000000 
 27,1700,+57,129.000000 
 27,1700,+58,135.000000 
 27,1700,+59,144.000000 
 27,1700,+60,149.000000 
 27,1700,+61,151.000000 
 27,1700,+62,151.000000 
 27,1700,+63,149.000000 
 27,1700,+64,152.000000 
 27,1700,+65,162.000000 
 27,1700,+66,157.000000 
 27,1700,+67,141.000000 
 27,1700,+68,135.000000 
 27,1700,+69,124.000000 
 27,1700,+70,120.000000 
 27,2000,+6,148.000000 
 27,2000,+7,151.000000 
 27,2000,+8,157.000000 
 27,2000,+9,162.000000 
 27,2000,+10,162.000000 
 27,2000,+11,160.000000 
 27,2000,+12,154.000000 
 27,2000,+13,152.000000 
 27,2000,+14,148.000000 
 27,2000,+15,148.000000 
 27,2000,+16,150.000000 
 27,2000,+17,122.000000 
 27,2000,+18,119.000000 
 27,2000,+19,114.000000 
 27,2000,+20,125.000000 
 27,2000,+21,121.000000 
 27,2000,+22,114.000000 
 27,2000,+23,119.000000 
 27,2000,+24,129.000000 
 27,2000,+25,129.000000 
 27,2000,+26,137.000000 
 27,2000,+27,135.000000 
 27,2000,+28,131.000000 
 27,2000,+29,135.000000 
 27,2000,+30,145.000000 
 27,2000,+31,151.000000 
 27,2000,+32,148.000000 
 27,2000,+33,153.000000 
 27,2000,+34,151.000000 
